Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
81,4224851,JKiriS,"2020-02-09 18:03:10",0.39546,33,jkiris
82,4014797,"Vlad Golubev","2020-02-10 16:44:18",0.39534,7,golubev
83,4304576,"Belinda Trotta","2020-02-10 11:37:33",0.39507,16,belindatrotta
84,4015638,HZD,"2020-02-10 16:52:29",0.39499,12,noxuslol
85,4285653,"Shake Shake up!!!","2020-02-10 09:46:18",0.39491,10,super13579
86,4019960,bestfitting,"2020-02-10 17:37:20",0.39443,21,bestfitting
87,4025884,我们遇到什么困难也不要怕,"2020-02-09 06:48:50",0.39442,128,"buaazijian,sparkingarthur,wochidadonggua"
88,4015393,"Yih-Dar SHIEH","2020-02-10 22:45:07",0.39434,19,yihdarshieh
89,4035091,tks,"2020-02-10 09:45:05",0.39429,2,tks0123456789
90,4303796,"Mahmoud Fawzi","2020-02-09 18:11:25",0.39356,16,mahmoudfm2003
91,4063308,"Shiny Minccino","2020-02-08 12:58:48",0.39326,71,"chongkairu,polars,simarvin"
92,4040658,ArielFabiano,"2020-02-10 16:40:03",0.39303,36,arielfabiano
93,4224726,wangkun520,"2020-02-05 14:07:26",0.39297,4,"hujian2019,lijieustcsse,lwcs22,wangkun520,wangpengkun415"
94,4015433,copasta,"2020-02-10 17:53:28",0.39267,46,copasta
95,4195165,antklen,"2020-02-10 06:28:40",0.39255,12,antklen
96,4015386,武汉加油，中国加油！,"2020-02-10 23:28:58",0.39251,89,"coldcode,linhaowen,zhangmingx"
97,4322201,ZxZ777,"2020-02-10 21:10:47",0.39177,28,zxz777
98,4022035,tjkemp,"2020-02-09 11:02:33",0.39104,78,tjkemp
99,4017781,ktr,"2020-02-10 16:43:59",0.39072,91,kcotton21
100,4291693,锐哥没有N95🤖,"2020-02-10 06:33:33",0.38940,11,"lhlricardo,lilhxr,rssghy,yankai19,zgthegreat"
101,4206014,dotprod,"2020-02-10 18:38:06",0.38905,44,dotprod
102,4337237,Liu123,"2020-02-08 12:28:27",0.38901,45,"giftedboycw,liu123,lmmbeauty,michaelyin,topsyan"
103,4103185,"The Minority Report","2020-02-10 23:49:40",0.38832,77,stocks
104,4287107,DavidTen,"2020-02-10 12:37:23",0.38789,36,xang1234
105,4063941,"Batjargal Bayarsaikhan","2020-01-27 03:24:33",0.38784,105,batjargalb
106,4290015,"Peter KK","2020-02-10 14:22:15",0.38755,16,peterty
107,4306699,Cue_Lab,"2020-02-10 20:19:14",0.38739,48,"keita111,kitkatbar0429"
108,4061521,"Nishi yasu","2020-02-10 15:10:01",0.38694,85,"bibek777,bigbigbang,nishisan"
109,4297051,"Ahmed Fawzy","2020-02-10 21:39:15",0.38657,42,ahmedfawzym
110,4031108,dmdr,"2020-02-10 19:51:42",0.38613,88,ddmitry
111,4262770,SpamMusubi,"2020-02-09 09:12:54",0.38570,23,gohjunyi
112,4292302,Podpall,"2020-02-10 18:15:48",0.38568,13,podpall
113,4218856,"Bean Bean Cho","2020-01-29 01:43:44",0.38566,15,beanbeancho
114,4028885,StephKua,"2020-02-10 14:22:08",0.38495,58,stephkua
115,4017600,"Endi Niu","2020-02-10 12:43:14",0.38476,26,niuddd
116,4015459,datamafia7,"2020-02-10 16:06:48",0.38469,12,datamafia7
117,4037145,nyounes,"2020-02-10 21:44:00",0.38448,83,nyounes
118,4310794,"Kiran Kunapuli","2020-02-10 08:45:29",0.38445,10,kirankunapuli
119,4331080,"Mcc Qin","2020-02-10 06:59:56",0.38426,41,qinnnn
120,4020077,Danil,"2020-02-10 15:04:49",0.38395,60,dvm1983
121,4028841,"The Super Toys","2020-02-03 07:29:38",0.38374,99,"pabloppp,victoralbertos"
122,4312785,tomo20180402,"2020-02-10 18:32:52",0.38348,14,tomo20180402
123,4014270,"Marcelo Oliveira","2020-02-07 01:25:34",0.38333,84,marceloo
124,4055326,"Quest For The Final Frontier","2020-02-10 19:08:02",0.38294,299,"adityaecdrid,hamishdickson,tanlikesmath"
125,4254378,henmi,"2020-02-10 20:48:34",0.38243,17,itumitui
126,4239612,"Hiroto Suzuki","2020-02-10 18:05:04",0.38242,54,pirotototo4023
127,4221823,TeamKim,"2020-02-10 20:00:35",0.38141,26,"hgusungbin,jwkim0417,kimsoongjin,posgnu"
128,4014828,katsumi,"2020-02-10 03:44:17",0.38124,48,katsumi2783
129,4056043,vinmuk,"2020-02-10 16:52:21",0.38118,59,skuman
130,4311852,sinchir0,"2020-02-10 00:39:02",0.38070,18,sinchir0
131,4142687,"dream team","2020-02-10 20:56:35",0.38068,210,"abmokin,mvvppp,slaviolo,vbmokin,volodymyrpivoshenko"
132,4066650,Acq.Xia,"2020-02-10 16:55:15",0.38062,45,acqxia
133,4257647,MC_square,"2020-02-10 21:20:00",0.38050,25,"aakashdeep,kushagra607,vermasangam"
134,4207170,"Gerwyn Ng","2020-02-10 15:40:53",0.38035,92,gerwynng
135,4181896,"SALAM MOAMED JEDIDI","2020-02-10 22:49:15",0.38023,6,mohamedjedidi
136,4251883,"small tiger","2020-02-10 16:44:51",0.38022,38,xiaohuhayou
137,4202624,"QU LU","2020-02-10 09:55:43",0.37964,10,qulu126610
138,4121939,"ratan rohith","2020-02-10 09:27:39",0.37927,28,ratan123
139,4271909,Kaz,"2020-02-10 14:03:10",0.37924,19,kazanova
140,4296061,Janos,"2020-02-10 14:13:44",0.37916,28,janosk21
141,4290135,something4kag,"2020-02-10 12:59:20",0.37857,22,something4kag
142,4139114,[Deleted],"2020-02-07 20:37:46",0.37827,19,del=f473782a9f011956
143,4202659,masashi16,"2020-02-10 21:12:17",0.37820,39,masashi16
144,4099299,"Yui Kasuga","2020-02-07 08:20:55",0.37811,7,correctoryui
145,4110306,"Sergiu Popa","2020-01-30 04:56:04",0.37804,12,sergiumpopa
146,4296633,matsu,"2020-02-10 23:51:56",0.37788,4,rmatsu
147,4147112,lyakaap,"2020-01-26 06:31:59",0.37721,18,lyakaap
148,4291618,[Deleted],"2020-02-10 21:19:31",0.37622,22,del=31c20d0d4fb36b33
149,4312974,VJTI-COE,"2020-02-10 22:03:19",0.37592,40,"amancframewala,patilaum,swapnilparekh"
150,4106677,gravity,"2020-02-10 20:10:02",0.37566,13,suchith0312
151,4299482,kazumitsusakurai,"2020-02-10 18:27:04",0.37561,14,kazumitsusakurai
152,4265618,XavierXin,"2020-02-08 13:00:40",0.37560,4,xavierxin
153,4015725,"Alexander  Larko","2020-02-09 13:11:38",0.37537,18,alexxanderlarko
154,4132295,TensorFrozen,"2020-02-04 08:31:46",0.37504,11,awangntu
155,4209699,Cheng,"2020-02-07 23:33:42",0.37502,17,"chengju,mengxin1992"
156,4270758,y,"2020-02-10 13:02:53",0.37500,10,tyi2000
157,4294208,NPLwgm,"2020-02-09 11:23:12",0.37496,3,nplwgm
158,4111580,mmmmyyyy,"2020-02-10 21:17:15",0.37492,27,futureboykid
159,4063250,"team tk","2020-02-07 07:45:27",0.37492,69,"kyosukesezai,kyousuzuki,shion222,tkscsk,wakkada"
160,4269452,tj,"2020-02-09 17:24:22",0.37468,46,"chun1182,ra25252"
161,4292161,yuya,"2020-02-09 21:30:23",0.37443,13,yuomori
162,4015312,Answer_The_Question,"2020-02-10 21:27:04",0.37440,44,"buntyshah,rshah1990,vinaydoshi"
163,4295537,chiri.,"2020-02-10 11:52:55",0.37439,37,so10436
164,4278239,liuze,"2020-02-10 18:24:34",0.37421,27,jt120lz
165,4053798,dunklerwald,"2020-02-10 18:03:39",0.37397,21,dunklerwald
166,4271907,"Leeds uni","2020-02-10 14:01:58",0.37374,33,"hdsk38,hsjplus"
167,4272041,"Ben Hu","2020-02-10 10:11:13",0.37367,21,re4388
168,4158484,QAQ,"2020-02-02 13:50:23",0.37350,8,"del=02155b39f6abdefb,xiuzbl"
169,4137259,GloMax,"2020-02-10 22:16:26",0.37341,76,"afajohn,chroteus,hilalguven"
170,4290969,"Markus F.","2020-02-10 17:05:35",0.37336,23,max363654
171,4073180,DimitreOliveira,"2020-02-10 22:26:18",0.37297,224,dimitreoliveira
172,4264167,"Mohammed Tayor","2020-02-10 12:58:13",0.37261,5,tayorm
173,4166449,"Ernest Eco","2020-02-10 16:03:12",0.37257,23,lpcheung
174,4290824,ziron,"2020-02-10 07:13:30",0.37250,15,"sudalairajkumar,supreethmanyam"
175,4232435,dhirooka,"2020-01-24 16:07:33",0.37248,23,daigohirooka
176,4080778,d46kobayashi,"2020-02-04 05:23:06",0.37248,17,d46kobayashi
177,4102371,"Chuyao Shen","2020-01-20 16:20:02",0.37247,25,scy232119
178,4146243,1sTnLpCoMp,"2020-02-10 10:37:34",0.37237,109,"buddhgupt,sandy1112"
179,4202004,"Zili Wang","2020-02-09 09:49:22",0.37227,15,ziliwang
180,4025535,Colin,"2020-01-22 06:48:42",0.37224,62,longcolinwang
181,4292527,Aindriú,"2020-02-10 20:21:06",0.37204,35,andtem2000
182,4074680,Kirderf,"2020-02-10 22:51:42",0.37184,58,kirderf
183,4089030,"Vitalii Bozheniuk","2020-02-10 22:33:43",0.37181,24,squarenabla
184,4197024,Ming_CC,"2020-02-10 13:09:50",0.37176,26,ldmkaggle
185,4292296,nissy,"2020-02-10 10:10:14",0.37175,16,nd02110114
186,4271083,"Aleksandr Dekhovich","2020-02-09 17:36:59",0.37163,57,adekhovich
187,4040700,Sherlock,"2020-01-15 12:26:10",0.37162,28,"avijain97,nd3003"
188,4013628,"Mikhail Pchelintsev","2020-02-04 10:24:17",0.37152,51,mishanyap
189,4303464,"Marco Gorelli","2020-02-10 22:31:16",0.37144,11,marcogorelli
190,4338359,"[Deleted] d1c8a4de-7e65-4c36-84e3-b84d8a567634","2020-02-10 21:05:26",0.37121,25,del=24b7bea03c116602
191,4216522,"Khoa Ngo","2020-02-09 23:51:27",0.37110,16,nejicool96
192,4015289,"Ceshine Lee","2020-02-09 13:03:46",0.37094,28,ceshine
193,4126645,aoligei,"2020-02-10 06:41:40",0.37085,67,"swggws,weiguangs"
194,4033163,"Konrad Banachewicz","2020-02-03 15:24:27",0.37075,44,konradb
195,4030640,"Bohdan Safoniuk","2020-02-09 22:11:33",0.37070,48,bohdansafoniuk
196,4109956,dvtoan7997,"2020-01-12 08:43:13",0.37069,55,"duykhanh99,dvtoan7997,joocxi,thanhcao"
197,4210229,"Eason Zh","2020-02-09 05:20:17",0.37035,9,cynorr
198,4329376,KagroLin,"2020-02-10 22:17:34",0.37018,6,kagrolin
199,4013966,exotol,"2020-02-10 06:06:10",0.36994,36,langsys
200,4040721,浪矢,"2020-02-10 18:59:20",0.36971,46,"hhhhhconme,vanle73"
201,4289937,"YaGana Sheriff-Hussaini","2020-02-10 21:38:45",0.36969,60,sheriytm
202,4222065,qwewrgf,"2020-02-10 10:33:46",0.36952,28,qwewrgf
203,4291790,"Hideto Tamura","2020-02-05 13:08:21",0.36929,15,"etks3141,hidetotamura,kaym11,yashimar"
204,4262473,jwelliav,"2020-02-10 12:35:23",0.36929,6,jwelliav
205,4100334,iamcalculating,"2020-02-09 17:50:41",0.36920,36,iamcalculating
206,4013977,"Bojan Tunguz","2020-02-05 16:45:22",0.36913,47,tunguz
207,4211865,takus,"2020-02-10 20:18:49",0.36912,36,takus4649
208,4021627,sayoulala,"2020-02-05 07:04:06",0.36912,34,"sayou1314,sayoulala"
209,4310935,aagapi,"2020-02-10 16:38:13",0.36908,35,aagapi
210,4222329,snowball03,"2020-02-10 04:04:01",0.36904,44,"learningjia,onlookeryj,smilememyself,snowball03"
211,4305269,discovery,"2020-02-10 20:55:59",0.36882,11,tohmae
212,4032695,"Gursewak Dhiman","2020-02-10 16:42:04",0.36875,38,gskdhiman
213,4134467,"Yu Tsumura","2020-02-10 22:38:58",0.36854,32,yutsumura
214,4288027,"Tyler Thomas","2020-02-05 21:38:59",0.36844,17,tylerjthomas9
215,4078836,KenMa,"2020-01-30 14:29:13",0.36844,4,qraina
216,4290846,"Mukesh #4","2020-02-07 09:20:31",0.36841,14,mukesh7
217,4148307,Ektoplasmakugel,"2020-02-10 17:12:46",0.36839,3,ektoplasmakugel
218,4293685,oalenkin,"2020-02-01 14:47:52",0.36825,8,alenkinoleg
219,4014986,spaggle,"2020-02-10 18:37:59",0.36815,48,"kaerunantoka,takuok"
220,4297083,cvlt_mao,"2020-02-10 19:41:23",0.36805,58,cvltmao
221,4147513,KungFu,"2020-02-10 12:19:40",0.36781,70,rohitsingh9990
222,4289513,"owaowari ranndo","2020-02-10 23:16:05",0.36772,31,"atuage,haraso"
223,4029541,yukiya,"2020-02-10 16:13:32",0.36770,28,nyleve
224,4047499,tusonggao,"2020-02-10 17:10:46",0.36764,17,tusonggao
225,4122035,stout,"2020-02-09 22:14:19",0.36764,64,soutsios
226,4014090,大佬们留个位子,"2020-02-08 06:17:16",0.36762,100,"fkhjoy,nxrprime,unkownhihi"
227,4156386,"Frank Guo","2020-02-06 01:56:14",0.36758,13,frankguo824
228,4298878,ncondo,"2020-02-10 17:48:50",0.36758,13,ncondo
229,4054639,KiryanovKD,"2020-02-09 11:18:30",0.36758,10,kiryanovkd
230,4158260,"Tetsu Yamamoto","2020-02-10 21:47:10",0.36758,66,ytetsu583
231,4221379,"Cedric Damien","2020-02-06 16:39:52",0.36758,3,cedricdamien
232,4057741,"FengLei Dou","2020-02-08 23:52:48",0.36758,11,dfenglei
233,4015652,"Kamal Chhirang","2020-02-09 20:20:25",0.36758,7,kamalchhirang
234,4247269,MingpeiyuZhang,"2020-02-10 11:44:21",0.36758,16,mingpeiyu
235,4302140,"Arrested Development","2020-02-09 14:27:02",0.36757,5,"busterbluth,tyronecragg"
236,4172484,"Stanislav Blinov","2020-02-06 13:19:54",0.36754,3,stanislavblinov
237,4046472,"Heng Zheng","2020-02-07 14:58:39",0.36752,33,hengzheng
238,4061417,tamref,"2020-02-10 07:18:10",0.36752,65,tamreff3290
239,4145050,"Paulo S. Santos","2020-02-08 14:41:16",0.36747,4,satansw
240,4025686,ravvv,"2020-02-09 18:03:51",0.36740,76,radream
241,4293704,机器算命,"2020-02-09 18:29:24",0.36738,9,lzcabc123456
242,4204898,Overfitting,"2020-02-10 14:34:19",0.36727,19,"jerrylsu,rongrongwu29,suyangshuo,yang159"
243,4213039,"Michal Juraszek","2020-02-10 10:51:43",0.36724,15,baldwin11
244,4022655,toxu,"2019-12-15 15:20:59",0.36722,11,tonyxu
245,4139964,"Arctic Yen","2020-02-10 10:24:04",0.36715,48,arcticyen
246,4307203,mtmt0903,"2020-02-10 17:05:01",0.36715,6,mtmt0903
247,4180818,"Pavel Proks","2020-02-09 12:04:53",0.36708,26,climbest
248,4095716,"Ruslan Baikulov","2020-01-05 14:17:36",0.36686,5,romul0212
249,4202205,"Lost boyy","2020-02-10 05:45:38",0.36679,32,manann
250,4273035,KazSapp,"2020-02-09 03:26:51",0.36673,9,kazsapp
251,4212456,ryoya,"2020-02-10 12:35:11",0.36665,28,ryoya0902
252,4064158,kumapo,"2020-02-10 20:04:15",0.36614,37,kumapo
253,4168844,"Paulo Pinto","2020-02-10 02:11:09",0.36603,14,paulorzp
254,4291857,natsuf,"2020-02-06 13:37:26",0.36596,15,"mafuku,natsuf"
255,4288703,Byfone,"2020-02-09 09:02:22",0.36586,10,byfone
256,4026717,Mockingray,"2020-02-08 23:26:34",0.36582,17,bruceyang
257,4299066,Ziwei,"2020-02-08 07:36:36",0.36574,12,bigheadjr
258,4108678,littlexiaogui,"2020-02-10 13:52:46",0.36569,14,littlexiaogui
259,4079405,"Olivier St-Amand","2020-01-08 02:31:55",0.36555,22,ostamand
260,4013803,Nanashi,"2020-02-10 23:00:23",0.36529,10,jesucristo
261,4289820,"Vishal ","2020-02-09 14:39:38",0.36527,7,vishal1310
262,4301518,satopooon,"2020-02-09 02:48:54",0.36523,3,satopon
263,4226154,"Kirill Balakhonov","2020-02-10 16:03:26",0.36522,12,kirill702b
264,4260551,Fuku19,"2020-02-10 12:08:43",0.36520,14,fuku19
265,4293670,"Sergey Alekseev","2020-02-10 09:56:41",0.36519,5,mastedm
266,4307047,"Yu Suzuki","2020-02-10 17:01:53",0.36517,10,szukiyu
267,4170257,Ownway,"2020-01-21 13:22:36",0.36517,19,ownway
268,4016650,"Sergey Zhitansky","2020-02-06 10:25:29",0.36513,40,szhitansky
269,4138313,yoshikiv,"2020-02-06 21:12:35",0.36511,48,yoshikiv
270,4272967,"tensor choko","2020-02-10 14:50:50",0.36511,32,tensorchoko
271,4016205,"Antonio Marin","2020-02-03 17:01:59",0.36510,18,amezet
272,4296156,soxy,"2020-02-08 12:14:19",0.36509,2,iwmmdct23
273,4033875,"Adel Valiullin","2020-02-08 21:30:14",0.36509,7,mystery
274,4126679,"Wei Hao Khoong","2020-02-08 13:26:07",0.36509,157,khoongweihao
275,4192060,"Mark was here","2020-02-03 18:32:44",0.36509,7,rizzenhlaalu
276,4050591,"Alexander Polyakov","2020-02-03 15:20:13",0.36509,12,alexpolyakov
277,4018556,"Anurag Trivedi","2020-02-03 17:03:36",0.36509,4,anuragtr
278,4295445,railgun_lover,"2020-02-10 16:39:33",0.36509,7,yoheiii
279,4038646,andrekos,"2020-02-09 16:10:35",0.36509,8,andrekos
280,4304099,"Vlad Sudakov","2020-02-10 22:42:56",0.36509,15,fisubus
281,4334022,AliceYang,"2020-02-03 17:11:42",0.36509,1,aliceyangxi
282,4017842,P3n9W31,"2020-02-09 02:27:45",0.36509,9,p3n9w31
283,4015358,𝓚𝓻𝓲𝓼𝓱𝓷𝓪!!,"2020-02-07 16:01:04",0.36509,25,"arbazkhan971,veeralakrishna"
284,4013374,"Avinash Anand","2020-02-07 18:56:53",0.36509,13,avinashanand
285,4338953,"Alex Ovsyannikov","2020-02-03 18:31:03",0.36509,1,alexovsyannikov
286,4270124,"Yassine Alouini","2020-02-03 19:45:40",0.36509,4,yassinealouini
287,4300627,"Evil Morty","2020-02-10 17:27:57",0.36509,4,servietsky
288,4308730,sirius*,"2020-02-10 21:21:42",0.36509,7,king1sirius1
289,4271729,"Olga Ivanova ","2020-02-03 20:13:57",0.36509,4,olgaiv39
290,4016169,Summers,"2020-02-06 10:24:58",0.36509,10,"bogdanbaraban,jessepinkman21"
291,4306906,"Marcin Pionnier","2020-02-03 22:31:25",0.36509,2,mpionnier
292,4303016,"satoshi minagawa","2020-02-10 07:02:49",0.36509,12,satoshiminagawa
293,4036723,"Mark Conway","2020-02-07 00:24:57",0.36509,8,mconway
294,4304727,Lovelace,"2020-02-05 12:44:48",0.36509,4,neuromag
295,4034709,yyll008,"2020-02-07 09:40:25",0.36509,18,yyll008
296,4290308,k.n.,"2020-02-04 02:13:58",0.36509,9,katsuomi
297,4087367,"Peter #2","2020-02-04 03:10:22",0.36509,2,coltoreg
298,4088357,"Lp space","2020-02-04 03:49:04",0.36509,95,"del=46a5e4060a4aa683,panjj1125"
299,4302532,BIG-Akky,"2020-02-10 03:43:31",0.36509,8,satoshi3104
300,4320239,belgrader,"2020-02-04 04:00:01",0.36509,7,belgrader
301,4291988,Prateek_Agnihotri,"2020-02-06 00:15:57",0.36509,13,prateekagnihotri
302,4298823,ApoorvNandan,"2020-02-10 21:14:15",0.36509,3,nandanapoorv
303,4058729,"Ashish Gupta","2020-02-04 06:55:28",0.36509,8,eashish
304,4286008,[Deleted],"2020-02-07 09:26:40",0.36509,5,del=fb7798faf8e5334d
305,4055486,"Brian Yue","2020-02-09 01:19:44",0.36509,7,brianyue
306,4023019,"Marek Nurzynski","2020-02-10 17:40:04",0.36509,123,marek3000
307,4315589,"Kirill Stroganov","2020-02-04 08:28:15",0.36509,4,kiraplenkin
308,4123233,Kazutaka.K,"2020-02-04 10:04:19",0.36509,1,kazutaka65k
